,corr
alpha101,0.7074649477979149
alpha035,0.5473630940530001
alpha001,0.41158758090656183
alpha073,0.14084552423148
alpha095,0.09588175285423538
alpha012,0.0947735565612391
alpha055,0.06733818715740737
alpha013,0.0610496234086059
alpha088,0.057236450883968615
alpha002,0.05466797218835608
alpha072,0.046770421868020204
alpha032,0.02276042357279503
alpha041,0.02057462664009452
alpha098,0.01894479865242359
alpha092,0.018293518273236234
alpha045,0.016382588660151756
alpha096,0.015333419392354167
alpha074,0.01436616282667546
alpha050,0.012415190986316429
alpha029,0.00980989553556465
alpha071,0.00026195139684273116
alpha053,5.175254478069533e-05
alpha078,-0.001970714080973894
alpha075,-0.007690493612562355
alpha026,-0.012892015326626372
alpha077,-0.017463685072466643
alpha085,-0.019201877236033477
alpha015,-0.03731555524094702
alpha081,-0.040664860085265785
alpha003,-0.04632473389261331
alpha006,-0.052610003146289615
alpha061,-0.06074637384969726
alpha054,-0.07103620029039613
alpha044,-0.0711287080233618
alpha022,-0.07170698815365956
alpha011,-0.07624255919735422
alpha064,-0.07940948443167138
alpha052,-0.08145981527546242
alpha066,-0.08455696186154421
alpha042,-0.09840187714437051
alpha016,-0.1105311988412463
alpha065,-0.1169699821058333
alpha040,-0.12028660369010012
alpha099,-0.1270035945567086
alpha021,-0.12755406723955026
alpha046,-0.15750507566438784
alpha008,-0.19552353402229597
alpha094,-0.1983865384374388
alpha014,-0.20080677190106255
alpha062,-0.21682277036515102
alpha004,-0.24669460951094344
alpha020,-0.2595899466893559
alpha023,-0.277865771496203
alpha043,-0.28589727037380813
alpha031,-0.31590425380395815
alpha083,-0.3768362802292091
alpha036,-0.37944676339326916
alpha057,-0.3898590865082765
alpha007,-0.43951915756078225
alpha030,-0.46580270921984857
alpha051,-0.49158993614691565
alpha049,-0.4915928681329719
alpha017,-0.4943751475803868
alpha034,-0.5419384604111644
alpha019,-0.5467960944477124
alpha038,-0.559318151690204
alpha037,-0.6071980102130379
alpha010,-0.6499251865677611
alpha009,-0.6568941128418109
alpha024,-0.6791719641645186
alpha039,-0.69782997154985
alpha060,-0.7222434425691198
alpha033,-0.7649559461667097
alpha047,-0.7817828132852908
alpha028,-0.8072456239837008
alpha025,-0.8551231542922547
alpha005,-0.8579659106105781
alpha018,-0.9038236691013949
alpha027,
alpha068,
alpha084,
alpha086,
